model,accuracy,precision,recall,f1,roc_auc,pr_auc,train_time_sec,predict_time_sec,evaluation_scope
XGBoost (no imbalance handling),1.0,0.9994,0.9976,0.9985,0.9999,0.9987,40.277,3.102,full_test
XGBoost + SMOTE,0.9999,0.9345,0.9982,0.9653,0.9998,0.9986,87.373,4.696,full_test
